iter	LogLikelihoodOfPrediction	Logloss
0	-2.312854455	0.655421604
1	-2.041251183	0.6221362011
2	-1.794766693	0.5919291579
3	-1.573266816	0.5647839108
4	-1.377378838	0.5407777017
5	-1.202751712	0.5193769986
6	-1.047661692	0.5003703019
7	-0.9069261348	0.4831230583
8	-0.7829263154	0.4679265786
9	-0.6709818421	0.4542076983
10	-0.5746420102	0.4424011697
11	-0.4931394587	0.43241275
12	-0.4183654304	0.4232494464
13	-0.3510092167	0.4149945685
14	-0.2861455775	0.4070455969
15	-0.2322416173	0.4004395572
16	-0.1781147431	0.3938061302
17	-0.1384521081	0.388945358
18	-0.09583208241	0.3837223471
19	-0.06273507636	0.3796661369
20	-0.02509013106	0.3750528066
21	0.001225743897	0.3718276162
22	0.03314409013	0.3679160227
23	0.05656244027	0.365046156
24	0.07763012257	0.3624643747
25	0.1021612959	0.3594580364
26	0.1906334532	0.3486155007
27	0.203785205	0.3470037802
28	0.3045184392	0.3346587177
29	0.3640547134	0.3273626122
30	0.4149435231	0.3211259724
31	0.4580927073	0.3158379919
32	0.5132524885	0.3090782337
33	0.5439335118	0.3053179261
34	0.5841720409	0.3003868818
35	0.6059952359	0.2977123337
36	0.6248936856	0.2953963892
37	0.6516127867	0.2921218635
38	0.6553833426	0.2916597789
39	0.6714487142	0.2896909308
40	0.6933138	0.2870113535
41	0.7052512653	0.2855484589
42	0.7219337964	0.2835039543
43	0.730907882	0.2824042004
44	0.7391179843	0.2813978693
45	0.7407244982	0.2812011293
46	0.7527873235	0.2797228738
47	0.7629288158	0.2784798699
48	0.7682557006	0.2778270858
49	0.7730081389	0.2772448197
50	0.77771765	0.2766675829
51	0.7850080829	0.275774026
52	0.7885850939	0.2753357753
53	0.7944663491	0.2746148511
54	0.7974836579	0.2742452872
55	0.798110765	0.2741683186
56	0.7993864479	0.2740118943
57	0.8005234884	0.2738726347
58	0.8030462283	0.2735636125
59	0.8040764695	0.273437172
60	0.8085757696	0.2728858464
61	0.8106454092	0.2726319814
62	0.8115324687	0.2725234164
63	0.813401066	0.272294424
64	0.8142846911	0.2721861049
65	0.8157316868	0.2720087438
66	0.8192699628	0.2715753583
67	0.8220555311	0.271233947
68	0.8247817589	0.2708997242
69	0.8254754142	0.2708147745
70	0.8261857953	0.2707277202
71	0.8274136466	0.270577145
72	0.8280738389	0.2704962679
73	0.8291028361	0.2703701827
74	0.8300432463	0.2702548665
75	0.8305929348	0.270187519
76	0.8327022505	0.2699291168
77	0.8332191693	0.2698657598
78	0.8349414985	0.2696546976
79	0.8356824446	0.2695638168
80	0.8361799744	0.2695029198
81	0.8366566406	0.2694444007
82	0.8373267254	0.2693623756
83	0.8380120524	0.2692783279
84	0.8386021846	0.2692059239
85	0.8401424851	0.2690171924
86	0.8414881762	0.2688522949
87	0.841699921	0.268826493
88	0.8420229151	0.2687869154
89	0.8432728138	0.2686334703
90	0.8439462818	0.2685511445
91	0.8440976703	0.2685326677
92	0.8444756847	0.2684862843
93	0.8456030935	0.2683481181
94	0.846116638	0.2682851985
95	0.8465078805	0.2682371478
