iter	Passed	Remaining
0	606	4246297
1	845	2959581
2	1139	2657362
3	1464	2560764
4	1761	2463775
5	2491	2904793
6	2995	2992169
7	3242	2833985
8	3753	2915651
9	4066	2842210
10	4292	2727259
11	5006	2915203
12	5508	2960772
13	5806	2897412
14	6059	2821485
15	6299	2749812
16	6506	2672794
17	6706	2601482
18	6879	2527756
19	7159	2498535
20	7392	2456907
21	7573	2402211
22	8262	2506411
23	8560	2488195
24	8803	2456248
25	9079	2435474
26	9282	2397405
27	9513	2368811
28	9761	2346444
29	9999	2323279
30	10755	2417841
31	10951	2384795
32	11168	2357865
33	11475	2351041
34	12008	2389667
35	12258	2371415
36	12568	2365345
37	12803	2345772
38	13001	2320686
39	13533	2354751
40	13797	2341943
41	14123	2339718
42	14452	2338293
43	14721	2327259
44	14946	2309994
45	15169	2293223
46	15384	2275950
47	15929	2307144
48	16194	2297295
49	16409	2280977
50	16738	2280713
51	16965	2266797
52	17191	2253426
53	17946	2308510
54	18484	2334083
55	18734	2323025
56	19052	2320739
57	19364	2317676
58	19597	2305558
59	19911	2303107
60	20227	2301013
61	20769	2324146
62	21039	2316634
63	21294	2307767
64	21556	2299889
65	21764	2286557
66	21984	2274869
67	22478	2291530
68	23012	2311635
69	23267	2303436
70	23522	2295551
71	24045	2313730
72	24316	2307367
73	24587	2301224
74	24839	2293517
75	25087	2285635
76	25614	2302993
77	25834	2292675
78	26073	2284236
79	26299	2274941
80	26551	2267992
81	27057	2282729
82	27592	2299464
83	28115	2314846
84	28348	2306264
85	29052	2335695
86	29341	2331476
87	29651	2328966
88	29969	2327147
89	30261	2323402
90	30990	2352926
91	31494	2364836
92	31759	2358715
93	32081	2356989
94	32409	2355675
95	32662	2348957
96	32883	2340134
97	33144	2334318
98	33450	2331751
99	33651	2321963
100	33906	2316061
101	34151	2309566
102	34397	2303318
103	34613	2295172
104	34857	2288952
105	35121	2284232
106	35371	2278640
107	35631	2273790
108	35875	2268074
109	36086	2260351
110	36294	2252556
111	36450	2241702
112	36763	2240599
113	37091	2240437
114	37348	2236033
115	37859	2246758
116	38035	2237572
117	38240	2230250
118	38898	2249247
119	39459	2262359
120	39667	2255131
121	39983	2254168
122	40477	2263119
123	40744	2259345
124	40977	2253774
125	41242	2249988
126	41756	2259767
127	41971	2253370
128	42255	2250673
129	42560	2249147
130	42834	2246046
131	43023	2238539
132	43213	2231199
133	43736	2241004
134	44039	2239485
135	44223	2231969
136	44472	2227832
137	44973	2236308
138	45187	2230424
139	45360	2222661
140	45601	2218310
141	45830	2213424
142	46007	2206110
143	46214	2200324
144	46407	2193943
145	46624	2188780
146	46833	2183316
147	47137	2182344
148	47862	2200715
149	48383	2209492
150	48701	2208985
151	49416	2226322
152	49679	2223224
153	49981	2221921
154	50258	2219464
155	50943	2234989
156	51179	2230710
157	51508	2230522
158	51732	2225787
159	51930	2220043
160	52202	2217488
161	52505	2216266
162	52766	2213280
163	52922	2205963
164	53109	2200028
165	53287	2193770
166	53509	2189393
167	53692	2183506
168	54003	2182846
169	54197	2177465
170	54428	2173626
171	54663	2170027
172	54881	2165756
173	55079	2160759
174	55313	2157208
175	55529	2153046
176	55780	2150221
177	56089	2149664
178	57028	2173147
179	57257	2169430
180	57949	2183204
181	58294	2183814
182	58482	2178544
183	59154	2191280
184	59667	2198022
185	60171	2204344
186	60421	2201330
187	60630	2196886
188	60842	2192590
189	61107	2190217
190	61659	2198096
191	61846	2192970
192	62017	2187310
193	62264	2184403
194	62463	2179815
195	62650	2174872
196	62920	2172827
197	63115	2168257
198	63599	2173572
199	63767	2168101
200	64062	2166961
201	64763	2179521
202	64979	2175684
203	65437	2179983
204	65674	2176874
205	66524	2194019
206	66726	2189730
207	66923	2185310
208	67230	2184508
209	67491	2182212
210	67947	2186235
211	68208	2183947
212	68396	2179375
213	68891	2184554
214	69123	2181400
215	69409	2179969
216	69576	2174835
217	69782	2170936
218	70026	2168263
219	70232	2164422
220	70458	2161246
221	70612	2155907
222	70896	2154568
223	71058	2149521
224	71265	2145885
225	71452	2141677
226	71635	2137390
227	71876	2134869
228	72104	2131963
229	72611	2137290
230	73123	2142725
231	73353	2139888
232	73649	2138988
233	73860	2135638
234	74067	2132198
235	74368	2131477
236	74615	2129224
237	74917	2128529
238	75176	2126636
239	75382	2123271
240	75555	2118994
241	75783	2116314
242	75960	2112199
243	76123	2107748
244	76331	2104560
245	76828	2109348
246	76995	2105058
247	77186	2101458
248	77408	2098729
249	77588	2094878
250	78317	2105832
251	78563	2103754
252	78731	2099615
253	79243	2104635
254	79482	2102382
255	79695	2099478
256	80396	2109395
257	80590	2105970
258	80875	2104953
259	81076	2101745
260	81279	2098639
261	81440	2094454
262	81655	2091672
263	81853	2088496
264	82026	2084707
265	82199	2080957
266	82902	2090578
267	83136	2088332
268	83332	2085183
269	83542	2082384
270	83762	2079847
271	83930	2076046
272	84132	2073110
273	84341	2070378
274	84542	2067459
275	84837	2066841
276	85061	2064513
277	85241	2061135
278	85451	2058493
279	85638	2055312
280	85832	2052337
281	85995	2048644
282	86235	2046790
283	86444	2044230
284	86685	2042443
285	86970	2041682
286	87177	2039114
287	87367	2036157
288	87871	2040494
289	88560	2049116
290	88761	2046387
291	88952	2043468
292	89433	2047202
293	89654	2044972
294	89864	2042509
295	90094	2040509
296	90348	2039088
297	90601	2037624
298	90787	2034668
299	90958	2031413
300	91107	2027663
301	91778	2035528
302	92049	2034496
303	92219	2031256
304	92521	2030924
305	92769	2029398
306	92986	2027231
307	93143	2023761
308	93602	2026838
309	93813	2024554
310	93970	2021118
311	94217	2019633
312	94388	2016539
313	94579	2013879
314	94862	2013187
315	95107	2011714
316	95271	2008524
317	95439	2005438
318	95648	2003214
319	95931	2002565
320	96102	1999600
321	96276	1996682
322	96477	1994368
323	96670	1991886
324	96829	1988719
325	97008	1985999
